timestamp,source,log_message,target_label,complexity
2025-03-14 22:23:00,UserPortal,Validation failed for product,workflow_error,bert
2025-02-20 08:49:00,SecurityService,Performance monitoring baseline updated,system_notification,regex
2025-07-20 12:41:00,AuthService,Load balancer configuration updated,system_notification,regex
2025-05-31 03:41:00,LegacyAPI,Deprecated: Using legacy MD5 encoding. Switch to SHA256,deprecation_warning,bert
2025-03-17 10:34:00,CRMSystem,Batch processing failed: insufficient funds,workflow_error,bert
2025-06-13 22:40:00,LegacyAPI,Database backup completed successfully,system_notification,bert
2025-09-02 00:14:00,BackupService,Order validation failed: missing required field 'billing_address',workflow_error,bert
2025-12-01 21:37:00,PaymentService,Mysterious process termination,unclassified,llm
2025-08-20 20:02:00,SecurityService,User anna.garcia@company.com logged out of the application,user_action,regex
2025-08-22 17:32:00,AuthService,Unexpected configuration change detected,unclassified,llm
2025-03-17 20:16:00,AuthService,Account ID 40025 created by lisa.williams@company.com,user_action,regex
2025-05-10 16:41:00,NotificationService,Data import started by user emily.smith@company.com,user_action,regex
2025-11-25 20:33:00,ShippingService,Log rotation completed successfully,system_notification,bert
2025-08-14 13:20:00,CRMSystem,System startup completed successfully,system_notification,bert
2025-08-17 16:00:00,ReportService,Service restart completed,system_notification,regex
2025-04-04 02:01:00,UserPortal,Daily backup completed at 2025-09-14 00:51:15,system_notification,regex
2025-04-02 11:44:00,EmailService,Connection refused to EmailService,workflow_error,bert
2025-09-17 13:23:00,LegacyAPI,Authentication failed: insufficient funds,workflow_error,bert
2025-06-09 19:10:00,AuthService,Backup initiated by user anna.taylor@company.com,user_action,regex
2025-03-04 18:07:00,EmailService,Performance monitoring baseline updated,system_notification,bert
2025-04-24 20:57:00,LegacyAPI,Legacy authentication method will be discontinued in 11 months,deprecation_warning,bert
2025-04-14 05:57:00,ProjectManagement,Security scan completed - no threats detected,system_notification,bert
2025-07-12 20:08:00,LegacyAPI,Configuration option 'old_format' is deprecated and will be removed,deprecation_warning,bert
2025-11-25 14:19:00,EmailService,Irregular system behavior noted,unclassified,llm
2025-03-11 13:18:00,DatabaseService,User john.taylor@company.com bookmarked page_76,user_action,regex
2025-03-04 09:16:00,DatabaseService,Cache cleared and refreshed,system_notification,regex
2025-03-16 23:01:00,LegacyAPI,SSL certificate renewed successfully,system_notification,regex
2025-01-17 21:48:00,ConfigService,Load balancer configuration updated,system_notification,bert
2025-12-30 11:16:00,FileService,Data validation error: invalid credentials,workflow_error,bert
2025-12-09 21:23:00,ValidationService,User jane.rodriguez@company.com downloaded data.csv,user_action,regex
2025-10-08 23:41:00,FinanceSystem,Authentication failed: invalid format,workflow_error,bert
2025-10-06 13:26:00,NotificationService,User jane.moore@company.com deleted record_452,user_action,regex
2025-10-09 23:04:00,BackupService,System resource optimization completed,system_notification,bert
2025-01-06 16:42:00,LegacyAPI,Feature 'reporting' is deprecated. Use 'advanced_export' instead,deprecation_warning,bert
2025-08-24 09:49:00,NotificationService,System maintenance window scheduled for tonight,system_notification,bert
2025-12-23 04:36:00,SystemMonitor,Server health check passed - all systems operational,system_notification,bert
2025-09-17 15:37:00,ConfigService,Invoice generation failed: rate limit exceeded,workflow_error,bert
2025-09-07 12:11:00,ShippingService,Payment processing failed: missing required data for order #96618,workflow_error,bert
2025-02-03 19:19:00,LegacyAPI,Library version 5.0.5 is deprecated. Please upgrade to 4.9.2,deprecation_warning,bert
2025-05-11 08:17:00,ProcessingService,Server health check passed - all systems operational,system_notification,bert
2025-10-07 13:07:00,LegacyAPI,Database schema version 1.2.3 support ending December 2027,deprecation_warning,bert
2025-05-03 01:55:00,BackupService,System updated to version 2.4.0,system_notification,regex
2025-01-17 17:13:00,LegacyAPI,Classic UI interface will be removed in favor of modern interface,deprecation_warning,bert
