log_message,target_label,complexity,message_length
"Cache cleared: 50 entries removed, 45MB freed",system_notification,bert,45
Request processed,unclassified,bert,17
User temp.user created new project 'Q1-Financials',user_action,bert,50
"Cache cleared: 5 entries removed, 512MB freed",system_notification,bert,45
"Cache cleared: 5 entries removed, 250MB freed",system_notification,bert,45
API endpoint /v2/orders responding normally (200ms),system_notification,bert,51
"Cache cleared: 10 entries removed, 512MB freed",system_notification,bert,46
File upload completed: quarterly.xlsx (1024MB) by user temp.user,user_action,bert,64
Two-factor authentication enabled for user john.doe,user_action,bert,51
"SSL protocol TLSv1.1 is deprecated, upgrade to TLSv1.3 by Jan 2025",deprecation_warning,bert,66
File upload failed: report.pdf exceeds 512MB limit,workflow_error,bert,50
Db connection pool initialized with 50 connections,system_notification,bert,50
"API endpoint /v2/orders is deprecated, migrate to /v3/auth by Dec 2024",deprecation_warning,bert,70
API endpoint /auth/login responding normally (250ms),system_notification,bert,52
Payment processing failed: insufficient funds for order #12345,workflow_error,bert,62
Account locked: 2500 failed login attempts for temp.user,user_action,bert,56
"Db driver mysql-connector-5.x is deprecated, upgrade to 3.0",deprecation_warning,bert,59
Account locked: 5 failed login attempts for alice.smith,user_action,bert,55
"Method calculateVAT() deprecated since 3.0, use VATService instead",deprecation_warning,bert,66
"Support ending for Internet Explorer by Dec 2024, update requirements",deprecation_warning,bert,69
File upload failed: backup.zip exceeds 45MB limit,workflow_error,bert,49
File upload completed: backup.zip (512MB) by user manager.ops,user_action,bert,61
File upload failed: quarterly.xlsx exceeds 100MB limit,workflow_error,bert,54
File upload failed: config.yaml exceeds 250MB limit,workflow_error,bert,51
Account locked: 1250 failed login attempts for manager.ops,user_action,bert,58
Memory usage: 82% of heap (7.1GB/16GB),system_notification,bert,38
Document shared: backup.zip shared with finance-team@company.com,user_action,bert,64
User session expired after 5 minutes for user temp.user,user_action,bert,55
Account locked: 5 failed login attempts for manager.ops,user_action,bert,55
Load balancer health check passed - 100 nodes healthy,system_notification,bert,53
Account locked: 5 failed login attempts for john.doe,user_action,bert,52
Account locked: 50 failed login attempts for admin,user_action,bert,50
API rate limit exceeded for client xyz-corp (20 requests/minute),workflow_error,bert,64
User admin logged in from IP 203.0.113.55,user_action,bert,41
User manager.ops logged in from IP 10.0.0.45,user_action,bert,44
User manager.ops created new project 'HR-Dashboard',user_action,bert,51
"Cache cleared: 5 entries removed, 100MB freed",system_notification,bert,45
Payment processing failed: insufficient funds for order #12345,workflow_error,bert,62
Account locked: 20 failed login attempts for manager.ops,user_action,bert,56
API endpoint /v2/orders responding normally (200ms),system_notification,bert,51
Service timeout: authentication unreachable,workflow_error,bert,43
User alice.smith created new project 'HR-Dashboard',user_action,bert,51
Legacy auth module will be sunset in Q3 2024,deprecation_warning,bert,44
User session expired after 30 minutes for user temp.user,user_action,bert,56
File upload completed: quarterly.xlsx (100MB) by user temp.user,user_action,bert,63
Database conn pool initialized with 1250 conns,system_notification,bert,46
Password changed successfully for user ID 67890,user_action,bert,47
Legacy authentication module will be sunset in Q2 2025,deprecation_warning,bert,54
File upload completed: backup.zip (1024MB) by user manager.ops,user_action,bert,62
"Database driver postgres-9.x is deprecated, upgrade to 4.0",deprecation_warning,bert,58
Database conn pool initialized with 100 conns,system_notification,bert,45
"API endpoint /v1/users is deprecated, migrate to /v3/auth by Q2 2025",deprecation_warning,bert,68
API rate limit exceeded for client alpha-inc (10 requests/minute),workflow_error,bert,65
"Method calculateVAT() deprecated since 2.0, use VATService instead",deprecation_warning,bert,66
File upload completed: report.pdf (100MB) by user manager.ops,user_action,bert,61
Db connection pool initialized with 10 connections,system_notification,bert,50
Account locked: 2500 failed login attempts for john.doe,user_action,bert,55
Memory usage: 60% of heap (7.1GB/16GB),system_notification,bert,38
User session expired after 5 minutes for user alice.smith,user_action,bert,57
Legacy auth module will be sunset in Q3 2024,deprecation_warning,bert,44
App started successfully on port 9090,system_notification,bert,37
"SSL protocol TLSv1.1 is deprecated, upgrade to TLSv1.3 by Q2 2025",deprecation_warning,bert,65
User session expired after 60 minutes for user admin,user_action,bert,52
"Cache cleared: 50 entries removed, 250MB freed",system_notification,bert,46
File upload completed: quarterly.xlsx (1024MB) by user manager.ops,user_action,bert,66
"Report format CSV will be discontinued, migrate to JSON by Jan 2025",deprecation_warning,bert,67
User session expired after 15 minutes for user alice.smith,user_action,bert,58
Email delivery failed: invalid recipient address test@unknown.com,workflow_error,bert,65
File upload failed: config.yaml exceeds 45MB limit,workflow_error,bert,50
Account locked: 1250 failed login attempts for admin,user_action,bert,52
User temp.user created new project 'Q1-Financials',user_action,bert,50
API rate limit exceeded for client alpha-inc (20 requests/minute),workflow_error,bert,65
Account locked: 50 failed login attempts for manager.ops,user_action,bert,56
User session expired after {minutes} minutes for user john.doe,user_action,bert,62
File upload completed: backup.zip (512MB) by user john.doe,user_action,bert,58
Config option 'debug=true' will be removed in version 4.0,deprecation_warning,bert,57
Database conn pool initialized with 2500 conns,system_notification,bert,46
User session expired after {minutes} minutes for user manager.ops,user_action,bert,65
File upload failed: data.csv exceeds 512MB limit,workflow_error,bert,48
Legacy auth module will be sunset in Q4 2024,deprecation_warning,bert,44
Account locked: 1500 failed login attempts for admin,user_action,bert,52
Memory usage: 95% of heap (7.1GB/16GB),system_notification,bert,38
Document validation failed: missing required field email,workflow_error,bert,56
Database connection pool initialized with 1250 connections,system_notification,bert,58
API endpoint /v1/users responding normally (200ms),system_notification,bert,50
File upload completed: quarterly.xlsx (250MB) by user temp.user,user_action,bert,63
"Db driver mysql-connector-5.x is deprecated, upgrade to 3.0",deprecation_warning,bert,59
Memory usage: 95% of heap (7.1GB/8GB),system_notification,bert,37
File upload completed: data.csv (512MB) by user alice.smith,user_action,bert,59
Memory usage: 75% of heap (6.2GB/16GB),system_notification,bert,38
Queue processing failed: invalid CVV,workflow_error,bert,36
File upload completed: quarterly.xlsx (512MB) by user manager.ops,user_action,bert,65
File upload completed: backup.zip (45MB) by user temp.user,user_action,bert,58
Config option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,57
"API endpoint /auth/login is deprecated, migrate to /v2/users by Jan 2025",deprecation_warning,bert,72
File upload completed: quarterly.xlsx (512MB) by user admin,user_action,bert,59
Legacy authentication module will be sunset in Q4 2024,deprecation_warning,bert,54
File upload completed: data.csv (512MB) by user john.doe,user_action,bert,56
Profile updated: user 12345 changed email to test@unknown.com,user_action,bert,61
Memory usage: 95% of heap (7.1GB/16GB),system_notification,bert,38
API endpoint /v2/orders responding normally (250ms),system_notification,bert,51
Database connection timeout after 60 seconds,workflow_error,bert,44
File upload failed: report.pdf exceeds 250MB limit,workflow_error,bert,50
API endpoint /auth/login responding normally (200ms),system_notification,bert,52
Memory usage: 60% of heap (6.2GB/16GB),system_notification,bert,38
"API endpoint /metrics is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,68
Legacy auth module will be sunset in Q2 2024,deprecation_warning,bert,44
File upload completed: data.csv (512MB) by user manager.ops,user_action,bert,59
"Cache cleared: 2500 entries removed, 250MB freed",system_notification,bert,48
ETL pipeline completed: 1250 records processed in 60 minutes,system_notification,bert,60
Account locked: 50 failed login attempts for manager.ops,user_action,bert,56
Application started successfully on port 8080,system_notification,bert,45
User session expired after {minutes} minutes for user temp.user,user_action,bert,63
"API endpoint /metrics is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,68
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,71
Configuration option 'debug=true' will be removed in version 2.0,deprecation_warning,bert,64
Profile updated: user 67890 changed email to user@invalid-domain,user_action,bert,64
Database connection pool initialized with 1250 connections,system_notification,bert,58
User temp.user logged in from IP 192.168.1.100,user_action,bert,46
File upload completed: report.pdf (512MB) by user manager.ops,user_action,bert,61
