log_message,target_label,complexity,message_length
"Function calculateVAT() deprecated since 2.0, use TaxCalculationService instead",deprecation_warning,llm,79
"API endpoint /v2/orders is obsolete, migrate to /v2/users by Q2 2025",deprecation_warning,llm,68
Database connection pool initialized with 50 connections,system_notification,llm,56
File upload completed: config.yaml (1024MB) by client alice.smith,user_action,regex,65
File upload completed: quarterly.xlsx (45MB) by client manager.ops,user_action,regex,66
"Cache cleared: 2500 entries removed, 100MB freed",system_notification,llm,48
User alice.smith created new project 'Q4-Analytics',user_action,llm,51
File upload unsuccessful: quarterly.xlsx exceeds 45MB limit,workflow_error,regex,59
File upload completed: data.csv (100MB) by user admin,user_action,llm,53
"API endpoint /auth/login is deprecated, migrate to /v3/auth by Jan 2025",deprecation_warning,bert,71
Load balancer health check passed - 50 nodes healthy,system_notification,llm,52
Profile updated: user 12345 changed email to user@invalid-domain,user_action,llm,64
Profile updated: user 67890 changed email to user@invalid-domain,user_action,regex,64
Old file storage API deprecated: migrate to cloud storage,deprecation_warning,regex,57
File upload completed: backup.zip (512MB) by user manager.ops,user_action,bert,61
User admin logged in from IP 203.0.113.55,user_action,bert,41
File upload completed: config.yaml (512MB) by client admin,user_action,regex,58
Document validation failed: missing required field address,workflow_error,llm,58
Database connection timeout after 15 seconds,workflow_error,regex,44
Account locked: 5 failed login attempts for temp.user,user_action,llm,53
"SSL protocol TLSv1.2 is deprecated, upgrade to TLSv1.3 by Q2 2025",deprecation_warning,regex,65
"Report format XML will be discontinued, migrate to Parquet by Jan 2025",deprecation_warning,bert,70
Memory usage: 45% of heap (7.1GB/8GB),system_notification,llm,37
Document shared: report.pdf shared with team-leads@company.com,user_action,llm,62
User session expired after 15 minutes for user john.doe,user_action,bert,55
File upload failed: backup.zip exceeds 45MB limit,workflow_error,regex,49
Status: OK,unclassified,bert,10
Profile updated: user 12345 changed email to test@unknown.com,user_action,llm,61
API rate limit exceeded for client xyz-corp (50 requests/minute),workflow_error,llm,64
Client session expired after 5 minutes for client admin,user_action,regex,55
Account locked: 5 was unsuccessful login attempts for alice.smith,user_action,llm,65
Profile updated: user 67890 changed email to user@invalid-domain,user_action,bert,64
File upload completed: quarterly.xlsx (1024MB) by user alice.smith,user_action,bert,66
"Cache cleared: 5 entries removed, 45MB freed",system_notification,bert,44
Profile updated: client 67890 changed email to test@unknown.com,user_action,regex,63
"Cache cleared: 50 entries removed, 512MB freed",system_notification,llm,46
Account locked: 5 failed login attempts for alice.smith,user_action,regex,55
"Legacy email template system deprecated, use new template engine",deprecation_warning,bert,64
Configuration file report.pdf reloaded successfully,system_notification,bert,51
User manager.ops logged in from IP 203.0.113.55,user_action,llm,47
File upload completed: report.pdf (1024MB) by client john.doe,user_action,regex,61
User session expired after 15 minutes for user admin,user_action,regex,52
Client manager.ops logged in from IP 192.168.1.100,user_action,regex,50
Account locked: 10 unsuccessful login attempts for admin,user_action,regex,56
File upload completed: backup.zip (250MB) by client manager.ops,user_action,regex,63
"Method calculateTax() deprecated since 3.0, use VATService instead",deprecation_warning,bert,66
Load balancer health check passed - 5 nodes healthy,system_notification,regex,51
