timestamp,source,log_message,target_label,complexity
2024-08-25 14:54:00,ComplianceBot,Thread pool utilization: 34% (12/71 threads),unclassified,llm
2024-03-30 16:13:00,SAPConnector,Legacy payment gateway deprecated - migrate to new provider by 2025-12-10,deprecation_warning,regex
2024-10-26 16:16:00,AnalyticsEngine,Batch processing failed - 194 records could not be processed,workflow_error,bert
2024-12-30 08:42:00,AuthService,Suspicious login location detected for user EMP4619 - Dublin,security_alert,bert
2024-06-14 14:36:00,FinanceCore,Handler EventProcessor processed 120 items,unclassified,llm
2024-02-26 15:23:00,AuthService,Session hijacking attempt detected - invalid session token for user EMP4666,security_alert,bert
2024-08-20 17:33:00,FirewallManager,Legacy Java version v2.1 deprecated - upgrade to Java v2.8,deprecation_warning,regex
2024-01-09 14:05:00,ComplianceBot,System file modification detected - suspicious_file_826.pdf changed unexpectedly,security_alert,bert
2024-02-06 10:04:00,FirewallManager,Email delivery failed to user772@company.com - invalid address,workflow_error,bert
2024-09-05 08:39:00,AuthService,Suspicious login location detected for user EMP2034 - New York,security_alert,bert
2024-01-30 09:40:00,SecurityCenter,Unauthorized network access attempt from MAC address 50:17:29:2a:3f:0b,security_alert,bert
2024-05-05 09:18:00,ComplianceBot,Suspicious login location detected for user EMP9930 - Toronto,security_alert,bert
2024-09-10 13:11:00,TaxManager,Legacy file format CSV v1.0 support ending 2026-05-02,deprecation_warning,bert
2024-04-21 08:32:00,VPNGateway,API request failed with status code 502 - /api/reports,workflow_error,bert
2024-03-21 09:55:00,GitLabRunner,Load balancer configuration updated - 494 servers,system_notification,bert
2024-04-07 17:34:00,VPNGateway,Session hijacking attempt detected - invalid session token for user EMP5324,security_alert,bert
2024-08-25 16:36:00,VPNGateway,Unauthorized API key usage detected - key KEY_3526,security_alert,bert
2024-04-05 13:36:00,BillingSystem,Thread pool utilization: 59% (13/99 threads),unclassified,llm
2024-07-02 17:38:00,DockerRegistry,Inventory adjustment made for SKU SKU683068 - quantity 721,unclassified,llm
2024-03-15 16:27:00,LoadBalancer,File backup initiated for EMP1376's documents,user_action,bert
2024-02-17 15:42:00,SupplyChain,Legacy Java version v3.7 deprecated - upgrade to Java v4.8,deprecation_warning,regex
2024-08-01 11:04:00,AuthService,Credential stuffing attack detected from IP range 3.5.163.0/24,security_alert,bert
2024-02-10 14:27:00,DataWarehouse,ETL pipeline execution completed - 770 records processed,system_notification,bert
2024-08-21 11:12:00,CustomerPortal,Quote QUO6131 generated for customer CUST64120,user_action,bert
2024-03-24 13:47:00,LeadManager,Customer meeting scheduled with CUST58585 for 2025-09-14,user_action,bert
2024-10-23 14:19:00,BackupService,Backup verification successful - 314 files verified,system_notification,bert
2024-07-23 15:16:00,ReportingAPI,Thread pool utilization: 69% (16/50 threads),unclassified,llm
2024-04-18 15:05:00,LoadBalancer,Operation AGGREGATE finished - duration 3059ms,unclassified,llm
2024-08-04 16:11:00,PaymentGateway,Buffer overflow condition detected in module IntegrationHub,unclassified,llm
2024-12-13 16:34:00,BillingSystem,Payment method updated for customer CUST82693,user_action,bert
2024-09-18 10:39:00,WorkforceOne,Cache hit ratio for DataProcessor: 80%,unclassified,llm
2024-02-26 08:23:00,SAPConnector,Legacy Java version v2.7 deprecated - upgrade to Java v2.6,deprecation_warning,regex
2024-01-19 15:12:00,PayrollPro,Compliance check CHK6485 resulted in status UNKNOWN,unclassified,llm
2024-12-01 08:40:00,SecurityCenter,Account lockout triggered for user EMP8332 - security threshold exceeded,security_alert,bert
2024-02-16 08:28:00,SecurityCenter,Suspicious login location detected for user EMP1564 - New York,security_alert,bert
2024-08-31 08:24:00,DockerRegistry,Load balancer configuration updated - 543 servers,system_notification,regex
2024-07-05 08:04:00,MonitoringSystem,Document 'proposal.zip' downloaded by EMP6076,user_action,bert
2024-04-09 13:25:00,MLPipeline,Compliance check CHK4422 resulted in status WARNING,unclassified,llm
2024-12-08 09:33:00,FinanceCore,Invoice INV680488 generated for customer CUST16642 - amount 149.99 GBP,user_action,bert
2024-07-05 13:12:00,SAPConnector,Checkpoint operation completed - 4950 pages written,unclassified,llm
2024-03-18 16:22:00,AuthService,Brute force attack detected on endpoint /data/export - 26 attempts in 16 minutes,security_alert,bert
2024-03-22 15:18:00,DataWarehouse,Deprecated Python 2.7 support - migrate to Python 3.8+ by 2026-08-22,deprecation_warning,regex
